Fruit,Avg. Temp (C),Avg. Humidity (%),CO? concentration(ppm),Days to spoil
Banana,24,60,401,5
Banana,22,55,399,6
Banana,25,50,400,5
Banana,21,45,398,7
Banana,19,52,403,7
Banana,17,43,410,8
Banana,20,46,408,7
Banana,18,58,410,7
Banana,23,65,404,5
Banana,24,62,402,5
Apple,24,60,401,18
Apple,27,65,400,16
Apple,28,70,397,15
Apple,25,66,395,16
Apple,20,55,411,20
Apple,22,58,403,19
Apple,27,70,404,15
Apple,21,65,399,19
Apple,26,68,401,16
Apple,30,70,401,14
Mango,23,65,398,11
Mango,21,60,398,12
Mango,22,55,400,12
Mango,18,70,407,13
Mango,25,54,410,10
Mango,26,51,403,10
Mango,25,57,404,9
Mango,23,61,401,11
Mango,24,63,399,11
Mango,21,48,400,13
Papaya,22,55,401,6
Papaya,24,70,402,5
Papaya,19,67,402,7
Papaya,21,71,402,6
Papaya,25,61,400,5
Papaya,23,56,399,6
Papaya,24,69,397,5
Papaya,22,65,400,6
Papaya,21,46,411,7
Papaya,20,54,418,7
Plum,21,55,420,5
Plum,18,57,401,6
Plum,17,75,404,6
Plum,21,64,398,5
Plum,23,68,399,4
Plum,22,53,400,5
Plum,19,48,401,7
Plum,20,54,402,6
Plum,22,59,403,5
Plum,23,62,399,5
Jackfruit,24,65,401,5
Jackfruit,22,68,402,6
Jackfruit,20,63,400,7
Jackfruit,19,60,399,7
Jackfruit,21,56,397,6
Jackfruit,24,59,400,5
Jackfruit,17,61,404,8
Jackfruit,25,64,409,5
Jackfruit,26,67,403,4
Jackfruit,21,69,401,6
Tomato,22,70,411,7
Tomato,23,75,409,7
Tomato,25,67,399,6
Tomato,27,69,401,5
Tomato,21,48,411,8
Tomato,18,56,402,8
Tomato,19,59,420,8
Tomato,22,55,419,6
Tomato,26,51,404,5
Tomato,25,64,399,5
Grapes,21,65,395,5
Grapes,18,66,400,6
Grapes,19,61,399,6
Grapes,22,55,401,5
Grapes,24,59,403,5
Grapes,23,47,405,5
Grapes,20,69,406,6
Grapes,24,73,407,5
Grapes,27,69,408,4
Grapes,17,53,402,7
Litchi,21,71,399,4
Litchi,23,67,397,3
Litchi,24,68,400,3
Litchi,21,70,401,4
Litchi,19,60,404,5
Litchi,27,55,402,3
Litchi,23,53,411,4
Litchi,25,59,403,3
Litchi,26,71,399,3
Litchi,29,75,397,2
Lemon,22,69,398,7
Lemon,23,70,400,7
Lemon,24,72,401,6
Lemon,21,76,404,7
Lemon,22,68,402,7
Lemon,19,64,400,8
Lemon,20,61,400,7
Lemon,17,57,398,9
Lemon,25,52,407,6
Lemon,28,78,403,5
